date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:30	163997/163997	---M--	200	added ('OK')	image/jpeg	etag:%222809d-5d6e519dece12%22	https://flygaft.com/application/files/cache/thumbnails/c49777cb19c7b3b2ef9a64c4c3a2d622.jpg	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/cache/thumbnails/c49777cb19c7b3b2ef9a64c4c3a2d622.jpg	(from https://flygaft.com/)
19:58:56	7069429/7069429	---M--	200	added ('OK')	video/quicktime	etag:%226bdef5-5d80e58ec2708%22	https://flygaft.com/application/files/6016/4493/1016/water.mov	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/6016/4493/1016/water.qt	(from https://flygaft.com/)
19:58:57	10988/10988	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Apr%202025%2017:58:57%20GMT	https://flygaft.com/contact?msg=Dear%20Frank,%20Please%20send%20me%20the%20GAFT%20quality%20specification.%20Regards,	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/contact0b43.html	(from https://flygaft.com/)
19:58:58	8752684/8752684	---M--	200	added ('OK')	video/quicktime	etag:%22858e2c-5d80e621146fe%22	https://flygaft.com/application/files/2516/4493/1169/molens.mov	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/2516/4493/1169/molens.qt	(from https://flygaft.com/)
19:58:59	3414/3414	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Jan%202022%2016:13:35%20GMT	https://flygaft.com/application/themes/stux/js/main.js?ccm_nocache=1d463a94354892a3be95dcca13f94abcbd2779b9	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/themes/stux/js/maincbc8.js	(from https://flygaft.com/)
19:58:59	2640/2640	---M--	200	added ('OK')	application/javascript	etag:%22a50-5d6e146bbbf5f%22	https://flygaft.com/concrete/js/features/navigation/frontend.js?ccm_nocache=1d463a94354892a3be95dcca13f94abcbd2779b9	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/concrete/js/features/navigation/frontendcbc8.js	(from https://flygaft.com/)
19:58:59	26476/26476	---M--	200	added ('OK')	application/javascript	etag:%22676c-5d6e146b4dd9f%22	https://flygaft.com/concrete/js/features/imagery/frontend.js?ccm_nocache=1d463a94354892a3be95dcca13f94abcbd2779b9	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/concrete/js/features/imagery/frontendcbc8.js	(from https://flygaft.com/)
19:59:02	173074/173074	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jan%202022%2017:50:46%20GMT	https://flygaft.com/application/themes/stux/img/vliegtuig.jpg	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/themes/stux/img/vliegtuig.jpg	(from https://flygaft.com/application/themes/stux/dist/css/style.css)
19:59:02	397/397	---M--	200	added ('OK')	text/css	etag:%2218d-5d6e4fe2ad9a7%22	https://flygaft.com/application/blocks/header_blok/view.css?ccm_nocache=1d463a94354892a3be95dcca13f94abcbd2779b9	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/blocks/header_blok/viewcbc8.css	(from https://flygaft.com/market-challenge)
19:59:03	469/469	---M--	200	added ('OK')	text/css	etag:%221d5-5d6e505f83e82%22	https://flygaft.com/application/blocks/tekst_en_afbeelding/view.css?ccm_nocache=1d463a94354892a3be95dcca13f94abcbd2779b9	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/blocks/tekst_en_afbeelding/viewcbc8.css	(from https://flygaft.com/market-challenge)
19:59:03	65848/65848	---M--	200	added ('OK')	image/jpeg	etag:%2210138-5d8c0236fadb1%22	https://flygaft.com/application/files/cache/thumbnails/b0254cee5c57e3321ed58dc91551b7dd.jpg	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/cache/thumbnails/b0254cee5c57e3321ed58dc91551b7dd.jpg	(from https://flygaft.com/market-challenge)
19:59:04	300341/300341	---M--	200	added ('OK')	image/png	etag:%2249535-5db6fbe2871d1%22	https://flygaft.com/application/files/cache/thumbnails/f38bbf58b01fb83d4491f2309d320400.png	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/cache/thumbnails/f38bbf58b01fb83d4491f2309d320400.png	(from https://flygaft.com/market-challenge)
19:59:05	11855155/11855155	---M--	200	added ('OK')	video/quicktime	etag:%22b4e533-5d80ef70c4c49%22	https://flygaft.com/application/files/7516/4493/3669/CO2.mov	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/7516/4493/3669/CO2.qt	(from https://flygaft.com/)
19:59:06	327558/327558	---M--	200	added ('OK')	image/png	etag:%224ff86-5d9ddebb83030%22	https://flygaft.com/application/files/cache/thumbnails/e031c860c4d4ba1d5737de5019a9754b.png	C:/Users/Nutzer/Desktop/Other%20stuff/Work/gaft%20rep/flygaft.com/application/files/cache/thumbnails/e031c860c4d4ba1d5737de5019a9754b.png	(from https://flygaft.com/market-challenge)
